Family Id,No,Config,Status,Price,Liftoff Thrust (kN),Payload to LEO,Payload to GTO,Stages,Strap-ons,Rocket Height (m),Fairing Diameter,Fairing Height
142,2,Soyuz 2.1b/Fregat,Active,$25.0 million,4550,"7,500 kg","3,000 kg",4,4,46.94,4.11 m,11.43 m
142,3,Soyuz 2.1b/Fregat-M,Active,$25.0 million,4550,"7,500 kg","3,250 kg",4,4,46.94,4.11 m,11.43 m
142,4,Soyuz ST-B/Fregat-M,Active,$30.0 million,4317,"9,000 kg","3,100 kg",4,4,46.94,4.11 m,11.43 m
142,5,Soyuz ST-B/Fregat-MT,Active,$30.0 million,4317,"9,000 kg","3,250 kg",4,4,46.94,4.11 m,11.43 m
143,1,Soyuz 2.1v,Active,,1535,"3,000 kg",0 kg,2,0,44.08,3.0 m,8.36 m
143,2,Soyuz 2.1v/Volga,Active,,1535,"2,850 kg",0 kg,3,0,44.08,3.0 m,8.36 m
144,1,Soyuz FG,Retired,,4550,"7,300 kg",0 kg,3,4,51.32,3.0 m,15.59 m
144,2,Soyuz FG/Fregat,Retired,,4550,"7,300 kg","1,800 kg",4,4,43.50,3.0 m,8.1 m
145,1,Soyuz U,Retired,$20.0 million,4456,"6,860 kg",0 kg,3,4,51.32,3.0 m,15.59 m
145,2,Soyuz U2,Retired,$40.0 million,4693,"7,150 kg",0 kg,3,4,51.32,3.0 m,15.59 m
145,3,Soyuz U/Fregat,Retired,$28.0 million,4456,"6,860 kg","1,400 kg",4,4,43.10,3.0 m,7.7 m
145,4,Soyuz U/Ikar,Retired,$28.0 million,4456,"6,860 kg","1,000 kg",4,4,43.58,3.0 m,7.86 m
146,1,Sputnik 8A91,Retired,,4457,"1,330 kg",0 kg,2,4,30.41,3.0 m,4.21 m
147,1,Sputnik 8K71PS,Retired,,4457,510 kg,0 kg,2,4,30.20,2.95 m,4.0 m
148,1,Vostok,Retired,,4570,"4,730 kg",0 kg,3,4,38.36,2.58 m,6.74 m
149,1,Vostok-2,Retired,,4570,"4,750 kg",0 kg,3,4,38.36,2.58 m,6.74 m
149,2,Vostok-2A,Retired,,4570,"4,500 kg",0 kg,2,4,39.10,2.58 m,10.66 m
149,3,Vostok-2M,Retired,,4570,"5,100 kg",0 kg,3,4,38.76,2.58 m,7.14 m
150,1,Juno II,Retired,,667,41 kg,,4,0,24.00,,
151,1,Redstone Sparta,Retired,,350,45 kg,,3,0,21.00,,
153,1,Saturn V,Retired,"$1,160.0 million",35100,"140,000 kg",,3,0,110.60,,
152,1,Saturn IB,Retired,,7100,"21,000 kg",,2,0,43.20,,
156,1,START,Retired,,890,850 kg,0 kg,5,0,28.94,1.61 m,4.34 m
156,2,START-1,Active,,890,532 kg,0 kg,4,0,22.74,1.33 m,3.34 m
157,1,Unha-2,Retired,,284,100 kg,0 kg,3,0,29.50,1.25 m,2.0 m
158,1,Unha-3,Active,,284,200 kg,0 kg,3,0,30.00,1.25 m,2.0 m
169,1,Delta 4925-8,Retired,,3469,"3,400 kg","1,200 kg",3,9,34.00,2.44 m,
167,1,Strela,Retired,,1870,"1,850 kg",0 kg,3,0,27.36,2.5 m,7.6 m
170,1,Delta III 8930,Retired,,4856,"8,290 kg","3,810 kg",2,9,35.00,4.0 m,10.84 m
172,1,Firefly Beta,Planned,,2208,"4,000 kg",400 kg,2,2,31.00,2.8 m,5.5 m
171,1,Falcon 1,Retired,$7.0 million,343,470 kg,,2,0,22.25,1.5 m,3.5 m
173,1,SM-65B Atlas,Retired,,1600,70 kg,,2,0,26.00,,
174,1,Cargo Starship-Super Heavy,Planned,,61800,"100,000 kg",,2,0,120.00,9.0 m,
174,2,Crew Starship-Super Heavy,Planned,,61800,,,2,0,120.00,,
174,3,Starship HLS-Super Heavy,Planned,,61800,,,2,0,120.00,,
174,4,Starship-Super Heavy (Prototype),Active,,61800,,,2,0,120.00,9.0 m,
174,5,Tanker Starship-Super Heavy,Planned,,61800,,,2,0,120.00,,
176,1,Miura 5,Planned,,,300 kg,,3,0,20.70,,
177,1,Voskhod,Retired,,4616,"6,001 kg",0 kg,3,4,44.63,2.58 m,7.14 m
